"","sub","item","cond","seq","dependnum","start","end","duration_ms","correctresp","subresp","accuracy","filename"
"87",2,4,2,27,1,5785106,5788273,3167,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"88",2,13,2,28,1,5795886,5798986,3100,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"89",2,17,3,29,1,5872654,5874384,1730,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"90",2,30,1,30,1,5906336,5910169,3833,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"91",2,33,1,31,1,6026991,6028361,1370,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"92",2,1,2,32,1,6035992,6037946,1954,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"93",2,39,1,33,1,6045842,6047745,1903,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"94",2,60,1,34,1,6068344,6070518,2174,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"95",2,34,2,35,1,6098189,6099867,1678,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"96",2,20,3,36,1,6108357,6110619,2262,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"97",2,21,1,37,1,6136826,6139530,2704,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"98",2,56,3,38,1,6145912,6148372,2460,1,0,0,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"99",2,35,3,39,1,6346059,6349702,3643,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"100",2,58,2,40,1,6357560,6360844,3284,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"101",2,49,2,41,1,6381243,6383408,2165,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"102",2,43,2,42,1,6406670,6409057,2387,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"103",2,23,3,43,1,6416280,6418031,1751,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"104",2,37,2,44,1,6446216,6448153,1937,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"105",2,36,1,45,1,6453767,6456696,2929,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"106",2,52,2,46,1,6500932,6504191,3259,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"107",2,40,2,47,1,6551058,6553328,2270,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"108",2,29,3,48,1,6566481,6568868,2387,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"109",2,46,2,49,1,6588864,6590850,1986,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"110",2,54,1,50,1,6599109,6601136,2027,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"111",2,16,2,51,1,6652090,6655033,2943,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"112",2,14,3,52,1,6730366,6732081,1715,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"113",2,45,1,53,1,6747689,6749701,2012,0,1,0,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"114",2,55,2,54,1,6764830,6766658,1828,1,0,0,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"115",2,59,3,55,1,6773351,6775321,1970,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"116",2,7,2,56,1,6857642,6859530,1888,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"117",2,38,3,57,1,6867056,6869721,2665,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"118",2,48,1,58,1,6913597,6916187,2590,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"119",2,8,3,59,1,6940849,6942562,1713,1,1,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
"120",2,28,2,60,1,6965383,6967308,1925,0,0,1,"C:/Data/corr_sacc/padded/JITT2_padded.asc"
